,symbol,entry_dt,entry_price,amt,qty,tp,sl,exit_dt,exit_price,exit_type,profit_loss,fees
49,ATOMUSDT,2020-05-08 04:01:00,2.751,50000,-18175.20901490367,-11.004,16.506,2020-05-08 08:00:00,2.715,barclose,654.3075245365327,27.176663031624862
50,ATOMUSDT,2020-05-08 12:01:00,2.735,50000,-18281.535648994515,-10.94,16.41,2020-05-09 08:00:00,2.777,barclose,-767.8244972577744,26.7926873857404
51,ATOMUSDT,2020-05-09 12:01:00,2.764,50000,-18089.72503617945,-11.056,16.584,2020-05-09 20:00:00,2.791,barclose,-488.4225759768476,26.868125904486252
52,ATOMUSDT,2020-05-09 20:01:00,2.794,50000,17895.490336435218,16.764,-11.176,2020-05-10 08:00:00,2.569,barclose,-4026.4853256979254,25.91284896206156
53,ATOMUSDT,2020-05-10 08:01:00,2.558,50000,-19546.520719311964,-10.232,15.347999999999999,2020-05-10 16:00:00,2.488,barclose,1368.2564503518342,27.369429241594997
54,ATOMUSDT,2020-05-10 16:01:00,2.479,50000,20169.42315449778,14.874,-9.916,2020-05-10 20:00:00,2.453,barclose,-524.4050020169473,26.858410649455426
55,ATOMUSDT,2020-05-11 00:01:00,2.517,50000,19864.91855383393,15.102,-10.068,2020-05-11 04:00:00,2.499,barclose,-357.56853396900664,26.903456495828365
56,ATOMUSDT,2020-05-11 08:01:00,2.482,50000,20145.044319097502,14.892000000000001,-9.928,2020-05-11 12:00:00,2.452,barclose,-604.3513295729301,26.83682514101531
57,ATOMUSDT,2020-05-11 16:01:00,2.436,50000,20525.451559934318,14.616,-9.744,2020-05-11 20:00:00,2.393,barclose,-882.5944170771787,26.76169950738916
58,ATOMUSDT,2020-05-12 04:01:00,2.433,50000,20550.760378133993,14.597999999999999,-9.732,2020-05-12 12:00:00,2.523,barclose,1849.5684340320656,27.49938347718866
